logg,Teff,Z,u,Filt,Met,Mod
3.5,4500,-4.5,0.3823,R,F,A
4,4500,-4.5,0.3264,R,F,A
4.5,4500,-4.5,0.2819,R,F,A
5,4500,-4.5,0.2457,R,F,A
0,4750,-4.5,0.5661,R,F,A
0.5,4750,-4.5,0.5465,R,F,A
1,4750,-4.5,0.5253,R,F,A
1.5,4750,-4.5,0.5026,R,F,A
2,4750,-4.5,0.4786,R,F,A
2.5,4750,-4.5,0.4587,R,F,A
3,4750,-4.5,0.4409,R,F,A
3.5,4750,-4.5,0.4176,R,F,A
4,4750,-4.5,0.3747,R,F,A
4.5,4750,-4.5,0.3388,R,F,A
5,4750,-4.5,0.2967,R,F,A
0,5000,-4.5,0.5451,R,F,A
0.5,5000,-4.5,0.5324,R,F,A
1,5000,-4.5,0.516,R,F,A
1.5,5000,-4.5,0.4987,R,F,A
2,5000,-4.5,0.4803,R,F,A
2.5,5000,-4.5,0.4635,R,F,A
3,5000,-4.5,0.4477,R,F,A
3.5,5000,-4.5,0.4325,R,F,A
4,5000,-4.5,0.4101,R,F,A
4.5,5000,-4.5,0.3768,R,F,A
5,5000,-4.5,0.3299,R,F,A
0,5250,-4.5,0.5248,R,F,A
0.5,5250,-4.5,0.5171,R,F,A
1,5250,-4.5,0.5067,R,F,A
1.5,5250,-4.5,0.4924,R,F,A
2,5250,-4.5,0.4789,R,F,A
2.5,5250,-4.5,0.465,R,F,A
3,5250,-4.5,0.4529,R,F,A
3.5,5250,-4.5,0.4405,R,F,A
4,5250,-4.5,0.4243,R,F,A
4.5,5250,-4.5,0.4019,R,F,A
5,5250,-4.5,0.3705,R,F,A
0,5500,-4.5,0.5012,R,F,A
0.5,5500,-4.5,0.4987,R,F,A
1,5500,-4.5,0.4934,R,F,A
1.5,5500,-4.5,0.4847,R,F,A
2,5500,-4.5,0.4744,R,F,A
2.5,5500,-4.5,0.4636,R,F,A
3,5500,-4.5,0.4526,R,F,A
3.5,5500,-4.5,0.4443,R,F,A
4,5500,-4.5,0.4319,R,F,A
4.5,5500,-4.5,0.4153,R,F,A
5,5500,-4.5,0.3932,R,F,A
0,5750,-4.5,0.5693,R,F,A
0.5,5750,-4.5,0.4828,R,F,A
1,5750,-4.5,0.4765,R,F,A
1.5,5750,-4.5,0.4731,R,F,A
2,5750,-4.5,0.4668,R,F,A
2.5,5750,-4.5,0.4587,R,F,A
3,5750,-4.5,0.4518,R,F,A
3.5,5750,-4.5,0.4433,R,F,A
4,5750,-4.5,0.438,R,F,A
4.5,5750,-4.5,0.4225,R,F,A
5,5750,-4.5,0.4057,R,F,A
0,6000,-4.5,0.5569,R,F,A
0.5,6000,-4.5,0.5576,R,F,A
1,6000,-4.5,0.467,R,F,A
1.5,6000,-4.5,0.459,R,F,A
2,6000,-4.5,0.4564,R,F,A
2.5,6000,-4.5,0.451,R,F,A
3,6000,-4.5,0.4462,R,F,A
3.5,6000,-4.5,0.4393,R,F,A
4,6000,-4.5,0.4325,R,F,A
4.5,6000,-4.5,0.4262,R,F,A
5,6000,-4.5,0.4056,R,F,A
0.5,6250,-4.5,0.5447,R,F,A
1,6250,-4.5,0.5452,R,F,A
1.5,6250,-4.5,0.4573,R,F,A
2,6250,-4.5,0.4448,R,F,A
2.5,6250,-4.5,0.4436,R,F,A
3,6250,-4.5,0.4405,R,F,A
3.5,6250,-4.5,0.4363,R,F,A
4,6250,-4.5,0.4313,R,F,A
4.5,6250,-4.5,0.4229,R,F,A
5,6250,-4.5,0.4112,R,F,A
0.5,6500,-4.5,0.5314,R,F,A
1,6500,-4.5,0.5316,R,F,A
1.5,6500,-4.5,0.5313,R,F,A
2,6500,-4.5,0.4401,R,F,A
2.5,6500,-4.5,0.4295,R,F,A
3,6500,-4.5,0.4305,R,F,A
3.5,6500,-4.5,0.4294,R,F,A
4,6500,-4.5,0.4264,R,F,A
4.5,6500,-4.5,0.422,R,F,A
5,6500,-4.5,0.4137,R,F,A
0.5,6750,-4.5,0.5182,R,F,A
1,6750,-4.5,0.5164,R,F,A
